case_id	case_name_abbreviation	decision_date	court_id
6756625	Willes v. Pitkin	1764-03	8872
6756634	Phelps v. Jepson	1769-03	8872
6756644	Buel v. Clark	1771-02	8872
6756677	Robertson v. Robertson	1772-03	8872
6756660	Widow Deforest’s Appeal from Probate	1772-08	8872
6756671	Trowbridge v. Royce	1772-08	8872
6756684	Chapman v. Chapman	1772-09	8872
6756695	Lee v. Sedgwick	1772-12	8872
6756702	Rex v. Humphrey	1772-12	8872
6756792	Ford v. Atwater	1773	8872
6756801	Rex v. Hanson	1773	8872
6756811	Tainter v. Brockway	1773	8872
6756817	Town of Waterbury v. Hurlburt	1773	8872
6756710	Buckingham v. Northrop	1773-02	8872
6756718	Seers v. Blakesly	1773-02	8872
6756725	Allin v. Cook	1773-02	8872
6756733	Northum v. Phelps	1773-03	8872
6756741	Hyde v. Park	1773-03	8872
6756746	Rix v. Strong	1773-03	8872
6756752	Fitch v. Scovel	1773-09	8872
6756758	Webster v. Price	1773-09	8872
6756766	Thomas v. Welles	1773-09	8872
6756772	Elliot v. Mix	1773-09	8872
6756783	Hallam v. Mumford	1773-09	8872
6756826	Brown v. Cornwell	1773-12	8872
6756867	Thompson v. Alsop	1774-02	8872
6756836	Hartmyer v. Gates	1774-03	8872
6756846	Rex v. Humphrey	1774-03	8872
6756859	Redfield v. Hillhouse	1774-08	8872
6756875	Knot v. Gay	1774-09	8872
6756882	Chapman v. Thomas	1774-09	8872
6756888	Lane v. Coply	1774-09	8872
6756895	Town of Wethersfield v. Stamford	1774-09	8872
6756901	Rex v. Peas	1774-09	8872
6756907	Coply v. Crane	1774-09	8872
6756913	Hovey v. Shumway	1775-01	8872
6756918	Andrus v. Andrus	1775-01	8872
6756926	Fitch v. Badger	1775-01	8872
6756999	Avery v. Woodruff	1775	8872
6757015	Rex v. Barber	1775	8872
6756941	Venner v. Underwood	1775-03	8872
6756954	Mott v. Hurd	1775-08	8872
6756970	Stuart v. Pierce	1775-08	8872
6756985	Kisham v. Nichols	1775-12	8872
6757032	Hall v. Dwight	1775-12	8872
6757047	Holmes v. Kennedy	1775-12	8872
6757054	Clark v. Brown	1777-12	8872
6757062	Bulkley v. Bulkley	1777-12	8872
6757072	Manwaring v. Tabor	1780-03	8872
6757078	Goodwin v. Harrison	1781-08	8872
6757090	Ray v. Bush	1783-03	8872
6757096	Luce v. Dimock	1783-03	8872
6757105	Kelsy v. Wright	1783-09	8872
6757113	Marsh v. Deming	1783-11	8872
6757122	Brown v. Talcott	1783-11	8872
6757132	County Treasurer v. Bissel	1783-12	8872
6757141	Arnold v. Sergeant	1783-12	8872
6757149	Hannaball v. Spalding	1783-12	8872
6757155	Badcock v. Steadman	1783-12	8872
6757165	Allin v. Hiscock	1783-12	8872
6757176	Fitch v. Lothrop	1783-12	8872
6757258	Arabas v. Ivers	1784	8872
6757266	Pruden v. Northrup	1784	8872
6757190	Osgood v. Grosvenor	1784-03	8872
6757202	Hillyard v. Seamons	1784-03	8872
6757212	Ives v. Gilbert	1784-08	8872
6757219	State v. Hurlbut	1784-09	8872
6757230	Huntington v. Lothrop	1784-09	8872
6757236	Carey v. Prentice	1784-09	8872
6757249	Hartshorn v. Halsey	1784-09	8872
6757273	Little v. Fowler	1785-01	8872
6757281	Welles v. Faning	1785-01	8872
6757287	Ketchum v. Scribner	1785-02	8872
6757296	Phelps v. Edwards	1785-02	8872
6757306	Allin v. Bunce	1785-03	8872
6757313	Carpenter v. Crane	1785-03	8872
6762332	Hinsdale v. Gillet	1785-08	8872
7331087	Hinsdale v. Gillet	1785-08	8872
8736213	Hinsdale v. Gillet	1785-08	8872
6757323	Mills v. Borroughs	1785-09	8872
6757330	Isham v. Avery	1785-09	8872
6757360	Worthington v. Hollister	1785-09	8872
6757365	Butler v. Bissel	1785-09	8872
6757377	Ponderson v. Avery	1785-09	8872
6757385	Prentice v. Phillips	1785-11	8872
6757394	King v. Lyman	1785-11	8872
6762352	Kimball v. Munson	1786-02	8872
6762387	Clarkson v. Everitt	1786-02	8872
6762404	Kingman v. Lawrence	1786-02	8872
7331113	Kimball v. Munson	1786-02	8872
7331142	Clarkson v. Everitt	1786-02	8872
7331148	Kingman v. Lawrence	1786-02	8872
8736219	Kimball v. Munson	1786-02	8872
8736228	Clarkson v. Everitt	1786-02	8872
8736236	Kingman v. Lawrence	1786-02	8872
11136982	Whiting v. Jewel	1786-02	8872
11136990	Horsford v. Wright	1786-02	8872
11137002	Mills v. Bishop	1786-02	8872
11137018	Lawrence v. Kingman	1786-02	8872
11137035	Page v. Camp	1786-02	8872
11137059	Hinman v. Stiles	1786-02	8872
11137076	Nott v. Welles	1786-02	8872
11137103	Beers v. Strong	1786-02	8872
11137128	Tweedy v. Brush	1786-02	8872
11137152	Hobby v. Finch	1786-02	8872
11137177	Mead v. Coggshall	1786-02	8872
11137184	Fitch v. Hall	1786-02	8872
11137198	Beers v. Strong	1786-02	8872
11137212	State v. Enos	1786-02	8872
6757402	Gay v. Adams	1786-03	8872
11137230	Bradley v. Blodget	1786-03	8872
11137242	Brinley v. Avery	1786-03	8872
11137259	Wooster v. Parsons	1786-03	8872
11137274	Huntington v. Jones	1786-03	8872
11137281	Thomson v. Wales	1786-03	8872
11137300	Backus v. Cleaveland	1786-03	8872
11137321	Adams v. Cleaveland	1786-03	8872
11137368	Fitch v. Huntington	1786-03	8872
11137396	Buel v. Metcalf	1786-03	8872
11137417	Kimball v. Cady	1786-03	8872
11137434	Rogers v. Hemsted	1786-03	8872
11137454	Huntington v. Carpenter	1786-03	8872
11137469	Avery v. Wetmore	1786-03	8872
11137494	Henshaw v. Coe	1786-07	8872
11137513	State v. Stutson	1786-07	8872
11137552	Mortimer v. Caldwell	1786-07	8872
6762425	Allen v. Broom	1786-08	8872
6762445	Bishop v. Mills	1786-08	8872
6762478	Boardman v. County of Litchfield	1786-08	8872
6762494	Sheldon v. County of Litchfield	1786-08	8872
7331177	Allen v. Broom	1786-08	8872
7331202	Bishop v. Mills	1786-08	8872
7331234	Boardman v. County of Litchfield	1786-08	8872
7331263	Sheldon v. County of Litchfield	1786-08	8872
8736244	Allen v. Broom	1786-08	8872
8736253	Bishop v. Mills	1786-08	8872
8736262	Boardman v. County of Litchfield	1786-08	8872
8736274	Sheldon v. County of Litchfield	1786-08	8872
11137581	Woodruff v. Whittlesey	1786-08	8872
11137624	Bill v. Scott	1786-08	8872
11137646	Peck v. Goodwin	1786-08	8872
11137666	Bostwick v. Nickelson	1786-08	8872
11137732	Stoddard v. Bird	1786-08	8872
11137748	Benedict v. Brownson	1786-08	8872
11137756	Leavensworth v. Phelps	1786-08	8872
11137765	M’Donald v. Leach	1786-08	8872
11137787	Eldridge v. Lane	1786-08	8872
11137834	Bradley v. Camp	1786-08	8872
11137851	State v. Green	1786-08	8872
11137879	Anonymous	1786-08	8872
11137904	Mills v. Bishop	1786-08	8872
11137937	Wooster v. Simons	1786-08	8872
11137968	Grant v. Jackson	1786-08	8872
11138009	Ecclesiastical Society of South-Farms v. Beckwith	1786-08	8872
11138042	Church v. Thomson	1786-08	8872
11138073	Clap v. Lockwood	1786-08	8872
11138095	Gold	1786-08	8872
11138118	Cooley v. Sanford	1786-08	8872
11138132	State v. Lockwood	1786-08	8872
11138154	Dauchy v. Smith	1786-08	8872
11138182	Northrop v. Brush	1786-08	8872
11138207	Wooster v. Parsons	1786-08	8872
11138234	Suffrein v. Prindle	1786-08	8872
11138263	Burrows v. Fitch	1786-08	8872
11138299	Wilford v. Grant	1786-08	8872
6762521	Chamberlain v. Buckley	1786-09	8872
7331299	Chamberlain v. Buckley	1786-09	8872
8736278	Chamberlain v. Buckley	1786-09	8872
11138332	Welles v. Olcott	1786-09	8872
11138360	Kibbe v. Kibbe	1786-09	8872
11138393	Hart v. Smith	1786-09	8872
11138444	Chapman v. Welles	1786-09	8872
11138460	Bunce v. Bunce	1786-09	8872
11138483	Palmer v. Seymour	1786-09	8872
11138506	Church v. Inhabitants of Norwich	1786-09	8872
11138524	Clark v. Moses	1786-09	8872
11138550	M'Clellan v. Morris	1786-09	8872
11138580	Ainsworth v. Allen	1786-09	8872
11138612	Storer v. Hinkley	1786-09	8872
11138641	Coit v. Bull	1786-09	8872
11138676	Punderson v. Shaw	1786-09	8872
11138693	Holmes v. Brown	1786-09	8872
11138735	Wight v. Mott	1786-09	8872
11138763	Mack v. Parsons	1786-09	8872
11138790	Minor v. Cook	1786-09	8872
11138811	Minor v. Erving’s Executors	1786-09	8872
11138826	Parks v. Morgan	1786-09	8872
11138850	Powers v. Lillie	1786-09	8872
11138875	Sholes v. Stoddard	1786-09	8872
