case_id	case_name_abbreviation	decision_date	court_id
6034676	Penn v. Shee	1770-02	9315
6034670	Tarrant v. Stevens	1770-05	9315
6034694	In re McCowin’s Estate	1771-02	9951
6034681	Cahoon	1771-03-13	9951
6034687	Brown v. Truit	1787-02	9315
581122	W. B. v. Latimer	1788-09	9735
581149	Robinson v. Lessee of Adams	1788-09	9735
503357	Cloud v. Davis	1790-02	9315
506629	Anonymous	1792-08	9322
506711	Parker v. Hazzard	1792-08	9322
506857	Townsend v. Mitchell	1792-08	9322
506945	Lingo's Lessee v. Rigua	1792-08	9322
506513	Matthews v. Stockley	1793	9315
506582	State v. Hughs	1793-02-07	23064
503525	Rodney v. Jones	1793-04	9322
506563	Rodney v. Jones	1793-04	9322
503455	Gilpin v. Gilpin	1793-10	9322
503528	Harvey v. Harvey	1793-10	23697
506510	Gilpin v. Gilpin	1793-10	9322
506545	Gilpin v. Gilpin	1793-10	9322
506642	Caldwell v. Hodgson’s Administrator	1793-10	9322
506644	Freeman v. Hall	1793-10	9322
506672	Collin's Lessee v. Marriner	1793-10	9315
506720	Morrison v. Weir	1793-10	9322
506791	Caldwell v. Hodgson’s Administrator	1793-10	9322
506896	Morrison v. Weir	1793-10	9322
506911	Collins v. Hall	1793-10	9322
506562	Harvey v. Harvey	1793-10-27	23693
506866	Harvey v. Harvey	1793-10-27	23693
503335	Polk's Lessee v. Ross	1793-11	9315
503398	Oday v. Willis	1793-11	9322
503498	Train v. Conwell	1793-11	9322
503529	Smith v. Horsey	1793-11	9315
506520	Smith v. Horsey	1793-11	9315
506542	Train v. Conwell	1793-11	9322
506599	Lofland Lessee v. Bloxsum	1793-11	9315
506628	Hall v. Field & Wiltbank	1793-11	9322
506740	Polk Lessee v. Ross	1793-11	9315
506810	Polk’s Lessee v. Ross	1793-11	9315
506820	Loftland’s Lessee v. Bloxsum	1793-11	9315
506891	Collins v. Hall	1793-11	9315
506930	Oday v. Willis	1793-11	9322
503488	Newbold's Lessee v. Stockley	1793-11-02	9322
503317	Hall v. Field	1793-11-03	9322
503505	Burton's Lessee v. Prettyman	1793-11-03	9322
506533	Collins v. Hall	1793-11-06	9322
506710	Train’s Administratrix v. Conwell’s Executors	1793-11-06	9322
506878	Train’s Administrator v. Conwell’s Executors	1793-11-06	9322
506681	James Newbold’s Lessee v. Stockley	1793-11-08	9322
506739	Burton’s Lessee v. Prettyman	1793-11-08	9322
503436	Vandegrift v. Haughey	1793-12	9315
506480	Caldwell v. Bond’s Administrator	1793-12	9315
506497	State v. Jim	1793-12	23064
506546	State v. Butcher	1793-12	23064
506551	Vandegright v. Haughey	1793-12	9315
506559	State v. Bender	1793-12	23064
506612	State v. Bender	1793-12	23064
506697	Vandegrift v. Haughey	1793-12	9315
506845	State v. Watt’s Executors	1793-12	9315
506858	State v. Bender	1793-12	23064
506939	State v. Bender	1793-12	23064
506552	State v. Farson	1794	23064
506934	Evans v. Boggs	1794	9322
506677	White Lessee v. White	1794-03	9322
506938	White’s Lessee v. White	1794-03	9322
503327	Evans v. Boggs	1794-04	9322
506601	Evans v. Boggs	1794-04	9322
506657	Clay’s Administrators v. Vanbebber’s Administrator	1794-04	9322
506750	State v. Baynard	1794-04	9330
506894	Elligood v. Smith	1794-04	9315
503250	Pemberton v. Nixon	1794-05	9315
506485	Little ex rel. Kollock's Executrix v. Draper's Administrator	1794-05	9322
506550	State v. Farsons	1794-05	23064
506775	White v. Stafford	1794-05	9315
506794	Cloud v. Davis	1794-05	9315
506817	Walter v. Evans	1794-05	9315
