case_id	case_name_abbreviation	decision_date	court_id
6661945	In re Ralph	1839-07	9299
8748204	In re Ralph	1839-07	9299
6662000	Aiken v. Appleby	1839-12	9299
6662110	Temple v. Hays	1839-12	9299
6662202	Gordon v. Higley	1839-12	9299
6662305	Brazelton v. Jenkins	1839-12	9299
6662413	Powell v. United States	1839-12	9299
6662504	Harrell v. Stringfield	1839-12	9299
6662609	Rigglesworth v. Reed	1839-12	9299
6662689	Wallis v. Sparks	1839-12	9299
6662770	Bell v. Pierson ex rel. Achison	1839-12	9299
6662856	Chapman v. Allen	1839-12	9299
8748273	Aiken v. Appleby	1839-12	9299
8748310	Temple v. Hays	1839-12	9299
8748352	Gordon v. Higley	1839-12	9299
8748391	Braselton v. Jenkins	1839-12	9299
8748416	Powell v. United States	1839-12	9299
8748445	Harrell v. Stringfield	1839-12	9299
8748475	Rigglesworth v. Reed	1839-12	9299
8748501	Wallis v. Sparks	1839-12	9299
8748534	Bell v. Achison	1839-12	9299
8748568	Chapman v. Allen	1839-12	9299
6067447	United States ex rel. Davenport	1840-07	9299
6067448	Ballard v. Ridgely	1840-07	9299
6067449	Ingraham v. Dooley	1840-07	9299
6067450	Hight v. White	1840-07	9299
6067451	Hill v. Smith	1840-07	9299
6067452	Griffey v. Payne ex rel. Clark	1840-07	9299
6067453	Freeman v. Holliday	1840-07	9299
6067454	Porter v. Moffatt	1840-07	9299
6067455	Strang v. Wilson	1840-07	9299
6067456	Long v. Long ex rel. Walling	1840-07	9299
6067457	Creighton v. Gordon	1840-07	9299
6067458	Cane v. Watson	1840-07	9299
6067459	Holmes v. Mallet	1840-07	9299
6067460	Fike v. United States	1840-07	9299
6067461	Board of Commissioners of Jefferson County v. Fox	1840-07	9299
6067462	Sleeth v. Cutler	1840-07	9299
6067463	Sleeth v. Cutler	1840-07	9299
6067465	Harlan v. Sigler	1840-07	9299
6067466	Maltby ex rel. Wheatley v. Cooper	1840-07	9299
6067467	Lorton v. Agnew	1840-07	9299
6067468	Carothers v. Click	1840-07	9299
6067469	Kirshbaum v. Hogan	1840-07	9299
6067470	McKnight v. Birhap ex rel. Hooper	1840-07	9299
6067471	Smith v. Ralston	1840-07	9299
6662979	Ballard v. Ridgley	1840-07	9299
6663075	Inghram v. Dooley	1840-07	9299
6663190	Fike v. United States	1840-07	9299
6663370	United States ex. rel. Davenport v. Commissioners of Dubuque County	1840-07	9299
6663497	Harlan v. Sigler	1840-07	9299
6663626	Creighton v. Gordon	1840-07	9299
6663826	Long ex rel. Walling, v. Long	1840-07	9299
6663925	Hight v. White	1840-07	9299
6664057	Commissioners of Jefferson County v. Fox	1840-07	9299
6664183	Cane v. Watson	1840-07	9299
6664334	Carothers v. Click	1840-07	9299
6664473	Sleeth v. Cutler	1840-07	9299
6664578	Porter v. Moffett	1840-07	9299
6664678	Maltby ex rel. Wheatley v. Cooper	1840-07	9299
6664792	W. Y. Decker & Co. v. Birhap ex rel. Hooper, Peck & Scales	1840-07	9299
6664900	Lorton v. Agnew	1840-07	9299
6664999	Griffey v. Payne ex rel. Clark	1840-07	9299
6665134	Hill v. Smith	1840-07	9299
6665220	Freeman v. Holliday	1840-07	9299
6665312	Holmes, Brown & Co. v. Mallett	1840-07	9299
6665450	Strang v. Wilson	1840-07	9299
6665614	Smith v. Ralston	1840-07	9299
