case_id	case_name_abbreviation	decision_date	court_id
6432253	Hay’s heirs v. Connelly’s heirs	1718-12-01	11942
3162160	Hoy v. Boggs	1785-06	15318
3161572	Morgan v. Pennybaker	1785-09	15318
3161454	Herndon v. Hogan	1786-11	15318
3161627	Swearingen v. Higgins	1787-06	15318
3161701	Ammons v. Spears	1787-06	15318
3162239	Hinton v. Heir of Stewart	1787-06	15318
3161909	Eagan v. Bowdry	1787-09	15318
3161839	Morgan v. Dryden	1788-11	15318
3161934	Isaacs v. Willis	1788-11	15318
3162074	Reed v. Laurence	1788-11	15318
3162308	Isaacs v. Willis	1788-11	15318
3161600	Pawling v. Heirs of Merewether	1789-06	15318
3162104	Hite v. Harrison	1789-09	15318
3162333	Hite v. Stevenson	1789-09	15318
3161649	Madison v. James	1790-06	15318
3161884	Smith v. Grimes	1790-06	15318
3162138	Jackman v. Heirs of Merewether	1790-06	15318
3162181	Walker v. Orr	1790-06	15318
3161775	Dougherty v. Crow	1791-10	15318
3162608	Crawford v. Logan	1791-10	15318
3161406	Young v. McKee	1792-03	15318
3162452	Dryden v. McGee	1792-03	15318
3161386	Eagan v. Hinch	1793-10	15318
3161429	Briscoe v. Speed	1793-10	15318
3161523	Consilla v. Briscoe	1793-10	15318
3162364	Same v. Same	1793-10	15318
3162423	Swearingem v. Briscoe	1793-10	15318
3162044	Whitledge v. McClanahan	1794-05	15318
3161548	Miller v. Heirs of Fox	1794-10	15318
3161680	Frye v. Essry	1795-05	15318
3161860	Bryan v. Bradford	1795-05	15318
3162206	Jackson v. Wilson	1795-05	15318
3162575	Owens v. Whitaker	1795-05	15318
3161965	Sinclair v. Singleton	1795-08	15318
3162489	Smith v. Evans	1795-08	15318
3161507	Myers v. Speed	1795-10	15318
12121279	Pawling v. Jackman	1795-10-10	11942
12121303	Rogers v. Estis	1798-05-19	11942
3161726	Cleland v. Thorp	1798-10	15318
12121347	Eastin v. Michie	1799	11942
12121414	Ford v. Commonwealth	1799	11942
12121472	Cowan v. Harrod	1799	11942
3161811	Bradford v. McClelland	1799-05	15318
3161746	McClanahan v. Berry	1799-10	15318
3162003	Whitledge v. Kenny	1799-10	15318
3162261	Greenup v. Coburn	1799-10	15318
3162285	McClanahan v. Litton	1799-10	15318
3162550	McConnell v. Kenton	1799-10	15318
12121559	Frowman v. Smith	1800	11942
12121657	Cherry v. Boyd	1800	11942
12121773	Adams v. Calhoun	1800	11942
12121889	Saunders v. Saunders’ Executors	1800	11942
12122000	Floyd v. Black	1800	11942
12122108	Tompkins v. Roberts	1800	11942
12122243	M’Crackin’s Executors v. Samuels	1800	11942
12122373	Winters v. January	1800	11942
3162392	Carter v. Oldham	1800-05	15318
3161481	Heirs of Fox v. Holeman	1801-03	15318
3162521	Bryan v. Wallace	1801-03	15318
3162630	Ward v. Heirs of Fox	1801-03	15318
3169890	Carland v. Irvin	1801-03-25	11942
3172679	Pollock v. Colglazure	1801-03-27	11942
3167109	Ward v. Kenton	1801-04-08	11942
3167088	Neal v. Holt	1801-04-09	11942
3170304	Fox v. Hobman	1801-04-09	11942
3166496	Bryan v. Wallace	1801-04-10	11942
3172332	Bradley v. Buford	1801-04-10	11942
3172361	Williams v. McAfee’s heirs	1801-04-10	11942
3165139	Orear v. Porter	1801-04-11	11942
3166164	Bliss v. Townsend	1801-04-11	11942
3169089	Campbell v. Adams	1801-04-11	11942
3170094	Carland v. Irvin	1801-04-11	11942
3164622	Carland v. Irvin	1801-07	11942
3169992	Fleming v. Chinowith	1801-07-08	11942
3166571	Moore v. Harris	1801-07-09	11942
3169121	Jackson v. Steele	1801-07-10	11942
3169237	Cooke v. Stubbs	1801-07-10	11942
3169418	Postlethwaits v. Lewis	1801-07-10	11942
3166727	Kilgore v. Kelly	1801-07-11	11942
3168411	Burbage v. Bullitt	1801-07-13	11942
3166690	South v. Bowles	1801-07-14	11942
3166822	Pendergrass v. Jackson	1801-07-14	11942
3167199	Waits v. Whitledge	1801-07-14	11942
3167579	Cotton v. Campbell	1801-07-14	11942
3168943	McKinney v. Randall	1801-07-14	11942
3168238	Barrett v. Meek	1801-07-15	11942
3167300	Wallace v. Henderson	1801-07-16	11942
3170126	Sullivant v. Shaw	1801-07-17	11942
3172043	Stoker’s Heirs v. Payne	1801-07-17	11942
3172073	Collett v. Bright	1801-07-17	11942
3164599	Bradford v. McCracken’s Heirs	1801-07-18	11942
3170672	Steele v. Mitchell	1801-07-18	11942
3165902	Rowan v. Rochester	1801-07-20	11942
3165968	Dawson v. Barnes	1801-07-21	11942
3167246	Welch v. Davis	1801-07-21	11942
3167365	Morrow v. Commonwealth	1801-07-22	11942
3169924	Morrow v. McClintock	1801-07-22	11942
3171000	Clarke v. Calloway’s Heirs	1801-07-22	11942
3171942	Reading v. Watkins	1801-07-22	11942
3170889	Johnson v. Brown	1801-07-28	11942
3165482	Woods v. Patrick	1801-07-29	11942
3167807	Enderman v. Ashby	1801-07-29	11942
3171676	Stidger v. Rogers ex rel. Commonwealth	1801-07-29	11942
3167444	Demaree v. Jackson	1801-07-30	11942
3167909	Grimes v. Doyle	1801-07-31	11942
3168684	Roundtree v. Roundtree	1801-07-31	11942
3171642	McLorty v. Davis	1801-07-31	11942
3165249	Fowler v. Cowper	1801-08-05	11942
3170157	Fowler v. Prewitt	1801-08-06	11942
3171555	Snoddy v. Madison Co. Court	1801-08-08	11942
3167657	O’Bannon v. O’Bannon	1801-08-10	11942
3168571	Edwards v. Corn	1801-08-10	11942
3166061	Morrow v. McKinney	1801-08-11	11942
3166601	Delany v. Stephenson	1801-08-11	11942
3168186	Batts v. Gordon	1801-08-11	11942
3169699	Ellis v. O’Bannon	1801-08-11	11942
3170221	Williams v. Cheek	1801-08-11	11942
3166340	Barnett v. Jackson	1801-08-12	11942
3169728	Fogg v. Fogg	1801-08-12	11942
3171890	Orear v. Singleton	1801-08-12	11942
3166653	Clay v. Barkley	1801-08-13	11942
3166762	Patrick v. Bush	1801-08-13	11942
3166899	Taylor v. Justices of the Cumberland County Court	1801-08-13	11942
3168914	Wallace v. Grant	1801-08-13	11942
3169860	Berry v. Keatan	1801-08-13	11942
3170428	Johnson v. Carlile	1801-08-13	11942
3167792	Gullion v. Bowlware’s Adm’rs	1801-08-14	11942
3170628	Jones v. Taylor	1801-08-14	11942
3167177	Johnson v. Rowland	1801-08-15	11942
3171593	Speed v. Wilson	1801-11-03	11942
3171144	Hart’s Ex’tr v. Chinn’s Heirs	1801-11-04	11942
3166203	Kenney v. Clinkinbeard	1801-11-05	11942
3167534	Craig v. Burris	1801-11-05	11942
3167387	Rhea v. Yoder	1801-11-06	11942
3168796	Beckley v. Bryan	1801-11-12	11942
3166300	Scott v. Taylor	1801-11-13	11942
3168607	Bedinger v. Drake	1801-11-13	11942
3167515	Daniel v. Pogue	1801-11-19	11942
3167044	Heirs of Crow v. Brown	1801-11-20	11942
3167153	Craddock v. Croghan	1801-11-20	11942
3168537	Rhea v. Yoder	1801-11-20	11942
3168706	Speed v. Wilson	1801-11-21	11942
3170826	Forbes v. Hamilton	1801-11-21	11942
3166625	Bruce v. Estill	1802-04-08	11942
3169031	Bridges v. Young	1802-04-08	11942
3170191	French v. Estill	1802-04-08	11942
3168312	James v. Tarlton	1802-04-13	11942
3168106	Marston v. Waldrhyn	1802-04-16	11942
3167271	Harrison v. Jackson	1802-04-17	11942
3169616	Pope v. Commonwealth	1802-04-17	11942
3171713	Crabtree v. Pemberton	1802-04-17	11942
3169565	Kenton v. Carswell	1802-04-18	11942
3165341	Latham v. Prather	1802-04-21	11942
3170367	Hall v. Kennedy	1802-04-21	11942
3166240	Baylor v. Hart	1802-04-24	11942
3168362	Commonwealth v. Wilson	1802-04-27	11942
3166439	Graves v. Walker	1802-04-28	11942
3164873	Caldwell v. Commonwealth	1802-04-29	11942
3165618	Ewing v. Thompson	1802-04-29	11942
3170456	Boals v. McConnell	1802-04-29	11942
3169827	Bridges v. Hardgrove	1802-04-30	11942
3167222	Kennedy v. Ford	1802-05-01	11942
3167830	Jackson v. Motley	1802-05-01	11942
3169504	McClelland v. Trustees of Bardstown	1802-05-03	11942
3168512	Morehead v. Prather	1802-05-06	11942
3171836	Bibb v. Prather	1802-05-08	11942
3164953	Handley v. Travis	1802-05-10	11942
3169187	Handley v. Travis	1802-05-10	11942
3165022	Drake v. Clay	1802-05-12	11942
3164575	Shult v. Travis	1802-05-13	11942
3167499	Duffin v. Ware	1802-05-13	11942
3169295	Palmer v. Jordan	1802-05-13	11942
3171291	Smith v. Cutrights	1802-05-14	11942
3167005	McDowall v. Macker	1802-05-15	11942
3168659	Lynch v. Tedball	1802-05-15	11942
3166968	Kincaid v. Wilson	1802-05-22	11942
3167737	Turley v. Owings	1802-05-22	11942
3169673	Irvine v. Earle	1802-05-22	11942
3168055	Reece v. Tylor	1802-05-26	11942
3169540	Shult v. Travis	1802-05-26	11942
3170926	Dean v. Dyer	1802-05-26	11942
3172647	Lewis v. Hancock	1802-05-26	11942
3171613	Patten v. Collins	1802-05-28	11942
3164986	Gaither v. Tilford	1802-05-29	11942
3166274	Ayers v. Scott	1802-05-29	11942
3166372	Craig v. Trustees of Transylvania	1802-05-29	11942
3171473	Cowan v. White	1802-05-29	11942
3166468	Lynch v. Barr	1802-06-02	11942
3167471	Bard v. Grundy’s Devisees	1802-06-02	11942
3167860	Stapp v. Howdershell	1802-06-02	11942
3168393	Chambers v. Winn	1802-06-02	11942
3172743	Reed v. Harrod	1802-06-02	11942
3167687	Richardson v. Justices	1802-06-03	11942
3168260	Dicken v. Dicken	1802-06-04	11942
3170600	Phillips v. Travis	1802-06-04	11942
3165420	Williams v. Hedricks	1802-06-05	11942
3167981	Porter v. Gass	1802-06-05	11942
3164772	Davis v. Ridgely	1802-10-21	11942
3167556	Fields v. Whitaker	1802-10-21	11942
3168009	Dean v. Dyer	1802-10-21	11942
3172205	Copeland v. Curry	1802-10-23	11942
3165100	Palmer v. Craddock	1802-10-26	11942
3165206	Henderson v. Morrison	1802-10-26	11942
3171266	Bartlett v. Franklin Co. Court	1802-10-27	11942
3172441	Kyle v. Conn	1802-10-27	11942
3168289	Roberts v. Todd	1802-10-28	11942
3169319	Meredith v. Clarke	1802-10-28	11942
3171366	Drake v. Bedinger	1802-10-28	11942
3166093	Roberts v. Todd	1802-11-03	11942
3167605	Clay v. Quarter Sessions Court	1802-11-03	11942
3169446	Shipp v. Radcliff	1802-11-03	11942
3171236	Dickerson v. Netherland	1802-11-03	11942
3168488	Short v. Jackson	1802-11-05	11942
3170347	Hawkins v. Craig	1802-11-05	11942
3167411	McCracken’s Devisees v. Finley	1802-11-09	11942
3169953	McDermid’s Heirs v. Lee	1802-11-10	11942
3171391	Tandy’s Heirs v. Bledsoe	1802-11-10	11942
3171749	Aiken v. Irvine	1802-11-10	11942
3166528	O’Bannon v. Jackson	1802-11-11	11942
3170394	Quarles v. Brown	1802-11-11	11942
3172103	Beall v. Mansell	1802-11-11	11942
3164926	Halley v. Mansell	1802-11-12	11942
3170720	Hites v. McClenahan	1802-11-12	11942
3164750	McDonald v. Parker	1802-11-13	11942
3167425	Adair v. Corrin	1802-11-13	11942
3170792	Gano v. Davis	1802-11-13	11942
3172241	Lillard’s Adm’r v. Taylor’s Heirs	1803-04-09	11942
3170279	Glenn v. White	1803-04-12	11942
3167932	Ballenger v. Crozier	1803-04-19	11942
3166791	Morford v. Thomas	1803-04-20	11942
3169391	Lansdale v. Graves	1803-04-20	11942
3170564	Reading v. Hickman	1803-04-21	11942
3170959	Barnett v. Strygler	1803-04-23	11942
3165520	Flowers v. Fletcher	1803-04-27	11942
3170505	Caldwell v. Grundy	1803-04-27	11942
3172002	Porter v. Tompkins	1803-04-27	11942
3165997	Goodloe v. Chapman	1803-04-28	11942
3172393	Morgan v. Robinson	1803-05-03	11942
3170025	Blunt v. Sprowl	1803-05-05	11942
3167341	Horine v. Woods	1803-05-07	11942
3168034	Smith v. Durrett	1803-05-09	11942
3169216	Lee v. Vaughan	1803-05-10	11942
3169137	Plummer v. Shannon	1803-05-19	11942
3165938	Simpson v. Register of the Land Office	1803-05-20	11942
3172177	Craig v. Pelham	1803-05-20	11942
3168826	Simpson v. Register of the Land Office	1803-05-21	11942
3165278	Orr v. Bobb	1803-05-24	11942
3172708	Lewis v. Butler	1803-05-27	11942
