case_id	case_name_abbreviation	decision_date	court_id
1021505	Stone v. Boreman	1658	8823
1021450	Gerard v. Willan	1659-02-28	8823
1021509	Abington v. Lowry	1662-12	8823
1021488	Ringgold v. Hinson	1666-10	8823
1021539	Ringgold v. Purs	1666-10	8823
1021558	Shaw v. Lynes	1683-02	8823
1021444	Watkinson v. Collins	1683-03	8823
1750392	Galwith v. Galwith	1689-04	13421
1021454	Taylor v. Llewellin	1692-09	8823
1021459	Keech’s Lessee v. Dansey	1704-05	8823
1021443	Seward’s Lessee v. Hicks	1705-04	8823
1021521	Beale v. Digges	1705-04	8823
1021550	Bordley v. Lloyd	1709-06	8823
1021565	Lloyd’s Lessee v. Hemsley	1712	8823
1021462	Smith’s Lessee v. Broughton	1714-07	8823
1021490	Lee’s Lessee v. Bladen	1714-07	8823
1021531	Clayland’s Lessee v. Pearce	1714-07	8823
1750347	Carroll’s Lessee v. Eskridge	1714-07	13421
1750389	Macnemara v. Brannock	1716-07	13421
1021482	Tanner v. Freeland	1718-04	8823
1750304	Docura v. Henry	1718-04	13421
1021475	Gresham v. Gassaway	1718-09	8823
1750296	Shanks’s Lessee v. Blackiston	1720-09	13421
1750337	Phippard v. Fordes	1721-04	13421
1021547	Proprietary v. Cockshut	1721-09	8823
1021496	Hemsley v. Smith	1722-04	8823
1021560	Sewell’s Lessee v. Howard	1722-04	8823
1021483	Snowden’s Lessee v. Lee	1722-09	8823
1021487	Proprietary v. Wright	1722-09	8823
1021456	Robins’s Lessee v. Bush	1723-04	8823
1021506	Proprietary v. Gibbs	1723-04	8823
1021545	Daniel of St. Thomas Jenifer’s Lessee v. Baker	1723-09	8823
1021532	Proprietary v. Farthing	1724-10	8823
1750284	Baltimore v. Evans	1725-10	13421
1021511	Digges’s Lessee v. Beale	1726-10	8823
1021530	Greaves’s Lessee v. Dempsy	1726-10	8823
1750287	Williamson v. Andrew	1726-10	13421
1021503	Tyler’s Lessee v. Carroll	1727-05	8823
1750393	Bryan v. Smallwood	1727-05	13421
1021449	Brooke v. Macnemara	1728	8823
1750385	Skirvan v. Willis	1728-05	13421
1021476	Robinson v. Lloyd	1728-10	8823
1021465	Digges’s Lessee v. Coomes	1729-05	8823
1021495	John Hyde & Co. v. Bradford’s Executrix	1730-10	8823
1750361	Mason’s Lessee v. Smallwood	1730-10	13421
1750356	Weems v. Mackall	1731-05	13421
1750303	Carroll’s Lessee v. Andrew	1731-10	13421
1021484	Proprietary v. King	1732-10	8823
1021471	Miller’s Lessee v. Hynson	1734-05	8823
1021513	Howell’s Lessee v. Tilden	1735-10	8823
1021468	Lloyd v. Tilghman	1736-10	8823
1021466	Wells v. Gheselin	1737-10	8823
1021549	Brent’s Lessee v. Tasker	1737-10	8823
1021534	Dulany ex rel. Lord Proprietary v. Jenings	1738-02	8823
1021469	Elliott’s Lessee v. Osborn	1738-05	8823
1021472	Young v. Hawkins	1738-05	8823
1021481	Devenish’s Lessee v. Smith	1738-05	8823
1021535	Young v. Williamson	1738-05	8823
1750285	Digges’s Lessee v. Jarman	1738-05	13421
1021446	Tasker’s Lessee v. Whittington	1739-05	8823
1021485	Cheseldine’s Lessee v. Brewer	1739-10	8823
1750362	Cheseldine’s Lessee v. Brewer	1739-10	13421
1021502	Black v. Digges’s Executors	1744-04	8823
1021448	Gough v. Jenings	1744-09	8823
1021553	Goldsborough v. Hawkins	1745-09	8823
1021499	Thornton’s Lessee v. Edwards	1747-10	8823
