case_id	case_name_abbreviation	decision_date	court_id
2283933	Carpenter v. Rodgers	1868-12	8829
2283934	Lee v. Hudson	1868-12	8829
2283939	Marden v. Wheelock	1868-12	8829
2283954	Anderson v. O’Laughlin	1868-12	8829
2283962	Territory of Montana v. Drennan	1868-12	8829
2283963	Loeb v. Schmith	1868-12	8829
2283969	Langford v. King	1868-12	8829
2283974	Conner v. McPhee	1868-12	8829
2283977	Brown v. Gaston & Simpson Gold & Silver Mining Co.	1868-12	8829
2283981	Kleinschmidt v. Morse	1868-12	8829
2283983	Christnot v. Montana Gold & Silver Mining Co.	1868-12	8829
2283990	Territory of Montana v. McElroy	1868-12	8829
2284006	Godbe v. McCormick	1868-12	8829
2284009	Griffith v. Hershfield	1868-12	8829
2284023	Wilson v. Davis	1868-12	8829
2284025	Lamb v. Gaston & Simpson Gold & Silver Mining Co.	1868-12	8829
2284027	Hutchinson v. Hampton	1868-12	8829
2284031	Thomas v. Smith	1868-12	8829
2284037	Cope v. Upper Missouri Mining & Prospecting Co.	1868-12	8829
2283972	Kleinschmidt v. Dunphy	1869-08	8829
2283980	Caruthers v. Pemberton	1869-08	8829
2284000	Grant v. Spencer	1869-08	8829
2284007	Bautz v. Kuhworth	1869-08	8829
2284039	McGregor v. Wells, Fargo & Co.	1869-08	8829
2284011	Loeb v. Kamak	1870-01	8829
2284030	Travis v. McCormick	1870-01	8829
2283937	Harris v. Shontz	1870-08	8829
2283938	Territory ex rel. Fisk v. Rodgers	1870-08	8829
2283944	Mason v. Germaine	1870-08	8829
2283947	Carrhart v. Montana Mineral Land & Mining Co.	1870-08	8829
2283948	McCormick v. Largey	1870-08	8829
2283958	Comanche Mining Co. v. Rumley	1870-08	8829
2283967	Davis v. Germaine	1870-08	8829
2283982	Nolan v. Lovelock	1870-08	8829
2283985	Dahler v. Steele	1870-08	8829
2283986	Gerber v. Stuart	1870-08	8829
2283989	Lincoln v. Rodgers	1870-08	8829
2283998	Thorp v. Woolman	1870-08	8829
2284002	Wilson v. Davis	1870-08	8829
2284010	Morgan v. Reynolds	1870-08	8829
2284014	Higgins v. Germaine	1870-08	8829
2284018	Aylesworth v. Reece	1870-08	8829
2284029	Febes v. Tiernan	1870-08	8829
2284032	King v. Edwards	1870-08	8829
2283936	Ming v. Truett	1871-01	8829
2283943	Rankin v. Campbell	1871-01	8829
2283945	Taylor v. Stewart	1871-01	8829
2283946	Travis v. McCormick	1871-01	8829
2283955	Lomme v. Kintzing	1871-01	8829
2283956	Noteware v. Sterns	1871-01	8829
2283960	Mason v. Germaine	1871-01	8829
2283961	Kinna v. Horn	1871-01	8829
2283965	Stewart v. Miller	1871-01	8829
2283966	Black v. Appolonio	1871-01	8829
2283970	Toombs v. Hornbuckle	1871-01	8829
2283975	Nelson v. O’Neal	1871-01	8829
2283978	Murphy v. Ames	1871-01	8829
2283988	Story v. Nowlan	1871-01	8829
2283996	Boucher v. Mulverhill	1871-01	8829
