case_id	case_name_abbreviation	decision_date	court_id
571215	Neligh v. Bradford	1871	8981
571217	Pomeroy v. Bridge	1871	8981
571222	Miller v. Finn	1871	8981
571237	Verges v. Roush	1871	8981
571238	Kittle v. Fremont	1871	8981
571239	Mattis v. Robinson	1871	8981
571240	Eaton v. Redick	1871	8981
571241	Midland Pacific Railroad v. Williamson	1871	8981
571242	McCartny v. Territory of Nebraska	1871	8981
571243	Cook v. Kuhn	1871	8981
571244	Bennet v. Fooks	1871	8981
571245	Burley v. State	1871	8981
571246	Mills v. Murry	1871	8981
571247	Redgrave v. Baptist Church	1871	8981
571248	Bradshaw v. City of Omaha	1871	8981
571249	Brewer v. Otoe County	1871	8981
571250	Homan v. Laboo	1871	8981
571251	Poland v. O’Connor	1871	8981
571252	Orr v. Orr	1871	8981
571253	Orr v. Seaton	1871	8981
571254	Brown v. Homan	1871	8981
571255	People v. McCallum	1871	8981
571256	Nebraska City v. Baker	1871	8981
571257	People v. Loughridge	1871	8981
571258	Towsley v. Johnson	1871	8981
571259	Rogers v. Jones	1871	8981
571260	Monroe v. Elburt	1871	8981
571261	Anderson v. Colson	1871	8981
571262	Midland Pacific Railroad v. Newman	1871	8981
571263	Laughlin v. Schuyler	1871	8981
571264	Jameson v. Butler	1871	8981
571265	Sands v. Smith	1871	8981
571266	Holmes v. Boydston	1871	8981
571267	Moffat v. Griswold	1871	8981
571268	Phillips v. Dawley	1871	8981
571269	City of Brownville v. Middleton	1871	8981
571270	Shoff v. Wells	1871	8981
571271	Clark v. Hotailing	1871	8981
571272	Newcomb v. Boulware	1871	8981
571273	Kruget v. State	1871	8981
571274	Zoller v. Ide	1871	8981
571275	Eaton v. Lambert	1871	8981
571276	Adams v. Boulware	1871	8981
571277	McReady v. Rogers	1871	8981
571278	Meredith v. Kennard	1871	8981
571279	Jones v. Nebraska City	1871	8981
571280	Morgan v. Larsh	1871	8981
571281	Mills v. Paynter	1871	8981
571282	Midland Pacific Railroad v. McCartney	1871	8981
571283	Columbus Co. v. Hurford	1871	8981
571284	McAusland v. Pundt	1871	8981
571285	Bennet v. Hargus	1871	8981
571286	Aumock v. Jamison	1871	8981
571287	Wilson v. Richards	1871	8981
571288	Bennett v. Townsend	1871	8981
571289	Platte Valley Bank v. Harding	1871	8981
571290	Watson v. McCartney	1871	8981
571291	Jones v. Edwards	1871	8981
571292	McDonald v. Penniston	1871	8981
571293	Murry v. Mills	1871	8981
571294	Woods v. Shields	1871	8981
571295	Porter v. Chicago & Northwestern Railway Co.	1871	8981
571296	Smiley v. Sampson	1871	8981
571297	Filley v. Duncan	1871	8981
571298	Mills v. Redick	1871	8981
571299	Smith v. Sahler	1871	8981
571300	Eaton v. Bender	1871	8981
571301	Burley v. Shinn	1871	8981
571302	Midland Pacific Railroad v. Day	1871	8981
2862827	Hoover v. Robinson	1872-02	8981
2864015	Irwin v. Calhoun	1872-02	8981
