case_id	case_name_abbreviation	decision_date	court_id
170	In re Collins	1716	15178
334	In re Hodgson	1716-12-31	15178
208	Divers goods ex Porto Prince	1721	15178
154	King v. Sloop Taken Super Altum Mare	1726-02-25	15178
272	Upon an information in behalf of his Majesty v. A Small Sloop taken up Super altum mare	1726-02-25	15178
236	Chip v. Adams	1727	15178
266	Spencer v. Gardner	1727	15178
312	Watkins v. the Sloop Concord	1727	15178
235	Spencer v. Gardner	1727-01-08	15178
305	Sellman v. Gardner	1727-01-08	15178
104	Chip v. Adams	1727-10-13	15178
106	Watkins v. Sloop Concord	1727-10-13	15178
248	Jepson v. Sloop Mary	1727-10-28	15178
130	Jepson v. Sloop Mary	1727-12-11	15178
199	Cutbirth v. Coggeshall	1727-12-13	15178
279	Cutbirth v. Coggeshall	1727-12-14	15178
160	Bigelow v. Whipple	1729-12-17	15178
143	Almy v. Brayton	1733	15178
119	Brown v. Sloop Providence	1738-07-20	15178
240	Collingwood v. Ship Oratava, & her cargo	1740	15178
194	Collingwood v. Ship Oratava & her Cargo	1740-07-09	15178
112	Collingwood v. Ship Oratava & her Cargo	1740-07-10	15178
195	Collingwood v. Ship Oratava & her Cargo	1740-07-10	15178
177	Collingwood v. Ship Oratava & her Cargo	1740-07-11	15178
233	Collingwood v. Ship Oratava & her Cargo	1740-07-12	15178
321	Callingwood v. Ship Oratava & her Cargo	1740-07-12	15178
121	Davidson v. Sloop Amiable Theresa	1741	15178
220	Davidson v. Sloop Amiable Theresa	1741-06-06	15178
152	Davidson v. Sloop Amiable Theresa	1741-07-08	15178
85	Flowers v. The Sloop Three Bros. Cargo	1742	15178
95	Flowers v. Sloop Three Bros.	1742	15178
137	Flower v. Sloop L’Amiable De Cap	1742	15178
157	Davidson v. Schooner St. Francis & Cargo	1742	15178
179	Flowers v. Sloop Dela Clara & Cargo	1742	15178
191	Allen v. De Las Animas	1742	15178
219	Davidson v. St. Francis	1742	15178
224	Allen v. Sloop Dove	1742	15178
226	In re Crawford	1742	15178
232	Dodge v. Gibbs	1742	15178
300	Flowers v. Sloop Pastora	1742	15178
325	In re Richardson	1742	15178
