case_id	case_name_abbreviation	decision_date	court_id
12121390	Murfree v. Leeper	1791-11	22926
12121459	Gillaspie v. Clark	1794-11	22926
12121549	Suggs v. Suggs's Executors	1794-11	22926
12121655	Blakemore v. Chambles	1799-05	22926
12121764	Sullivan’s Lessee v. Brown	1799-11	22926
12121885	Hoggat v. M’Crory	1801-05	22926
12121997	Greer v. Emerson	1801-11	22926
12122119	Kerr v. Porter	1802-05	22926
12121267	Sweetman’s Lessee v. Wilburn	1802-11	10312
12126705	Douglass v. Evans	1804-05	22926
12121286	Davidson’s Lessee v. Shelton	1804-09	10312
12121321	Jones v. Jones	1804-09	10312
12122241	Floro v. Sims	1804-09	22926
12122367	Park’s Lessee v. Larkin	1804-09	22926
12122500	Johnston v. Belfour's Executors	1804-09	22926
12122642	Lucas v. Sevier	1804-09	22926
12122783	White v. Edgman	1804-09	22926
12122932	Ingram's Heirs v. Cocke	1804-09	22926
12123066	Jackson v. Honeycut	1804-09	22926
12123199	M‘Farlane v. Moore	1804-09	22926
12123346	Nelson v. North	1804-09	22926
12123487	Humphries v. Blevins	1804-09	22926
12123649	Hamlin's Executrix v. Berry	1804-09	22926
12123815	Dearing v. Taylor	1804-09	22926
12123993	Miller’s Lessee v. Holt	1804-09	22926
12124153	Beck v. Knabb	1804-09	22926
12124335	Metcalf v. Coroner of Grainger	1804-09	22926
12124506	May v. Executors of Campbell	1804-09	22926
12124656	Cowan v. Shields	1804-09	22926
12124804	Carter's Lessee v. Parrot	1804-09	22926
12124968	State v. Markham	1804-09	22926
12125121	Barton v. Bird	1804-09	22926
12125261	Davidson's Lessee v. Shelton	1804-09	22926
12125395	Wallen v. Lane	1804-09	22926
12125570	Denton v. Buckingham	1804-09	22926
12125743	Guest v. Sims	1804-09	22926
12126077	Humes v. Heirs of Shelly	1804-09	22926
12126231	Duncan v. King	1804-09	22926
12126350	Dwiggins v. Robertson	1804-09	22926
12126481	Nichols v. Colvill	1804-09	22926
12121358	State v. Anderson	1804-11	10312
12126857	Lemmons Lessee v. Alexander	1804-11	22926
12126978	Sample v. Looney	1804-11	22926
12127118	Ragan v. Kennedy	1804-11	22926
12130054	Robertson’s Administrators v. Campbell	1805	22926
12131190	Guyer v. Cox	1805	22926
12131618	Stewart’s Lessee v. Austin	1805	22926
12127280	Park’s Lesse v. Larkin	1805-03	22926
12127414	Lucas v. Sevier	1805-03	22926
12127542	Cole v. Sands	1805-03	22926
12127743	Berry v. Wallin	1805-03	22926
12127886	M'Alister's Lessee v. Williams	1805-03	22926
12128294	Hamilton v. Hodgkiss	1805-03	22926
12128461	Collier v. Gray	1805-03	22926
12128717	Miller's Lessee v. Holt	1805-03	22926
12128890	Sharpless v. Sevier	1805-03	22926
12129034	M’Alisters Lessee v. Williams	1805-03	22926
12129328	Davis's Executors v. Fulton	1805-03	22926
12129462	Lewis v. Outlaw	1805-03	22926
12129768	Glasgow’s Lessee v. Smith	1805-03	22926
12129895	Cocke’s Lessee v. Dotson	1805-03	22926
12130222	Douglass’ Lessee v. Harrison	1805-05	22926
12130369	Ellison v. German	1805-05	22926
12121425	Hampton's Lessee v. M’Ginnis	1805-09	10312
12130525	M’Farlane v. Moore	1805-09	22926
12130707	Humphreys v. Blevins	1805-09	22926
12130879	Craig’s Lessee v. Vance	1805-09	22926
12131051	Cole v. Sands	1805-09	22926
12131316	Ninney v. Damron	1805-09	22926
12131466	Williams v. King	1805-09	22926
12131776	Berry v. Wallen	1805-09	22926
12131940	Hooper’s Administratrix v. Hooper	1805-09	22926
12133892	Wilson v. Kilcannon	1805-09	22926
12134038	Richards Lessee v. Hicks	1805-09	22926
