case_id	case_name_abbreviation	decision_date	court_id
6038588	Booth v. Dudley	1729	9757
6038723	Meekins v. Burwell	1729	9757
6038845	Burgess v. Chichester	1729	9757
6038901	Digges v. Lilly	1729	9757
6038413	Blackgrove v. Addison	1729-10	9757
6038467	Mutlow v. Ballard	1729-10	9757
6038481	Abbot v. Abbot	1729-10	9757
6038777	Smith v. Brown	1729-10	9757
6038426	Legan v. Latany	1730	9757
6038508	Edmonds v. Hughs	1730	9757
6038519	Tucker v. Sweney	1730	9757
6038571	Churchill v. Machen	1730	9757
6038655	Thornton v. Buckner	1730	9757
6038860	Graves v. Boyd	1730	9757
2096035	Marston v. Parish	1730-04	9757
2096044	Edmonds v. Hughes	1730-04	9757
6038616	Marston v. Parrish	1730-04	9757
6038708	Marks v. Dunn	1730-04	9757
6038735	Allen v. Stafford	1730-04	9757
6038914	Churchilll v. Blackburn	1730-04	9757
6754039	Marston v. Parish	1730-04	9757
6754052	Edmonds v. Hughes	1730-04	9757
6038399	Goodright Lesse v. Batson	1731	9757
6038437	Barret v. Gibson	1731	9757
6038545	Waugh v. Bagg	1731	9757
6038640	Powell v. Farree	1731	9757
6038667	Freeman v. Hurst	1731	9757
6038750	Eppes v. Redford	1731	9757
6038790	Harrison v. Blair	1731	9757
6038818	Lawson v. Connor	1731	9757
6038832	Willard v. Perry	1731	9757
6038888	Waughop v. Tate	1731	9757
6038929	Thrustont v. Pratt	1731	9757
2096010	Waddy v. Sturman	1731-04	9757
2096038	Tucker v. Sweny	1731-04	9757
6038558	Denn v. Smith	1731-04	9757
6038601	Berryman v. Cooper	1731-04	9757
6754064	Tucker v. Sweney	1731-04	9757
6754078	Waddy v. Sturman	1731-04	9757
6038764	Waddy v. Sturman	1731-10	9757
6038449	Armistead v. Swiney	1732	9757
6038495	Swiney v. Dandridge	1732	9757
6038533	McCarty v. Fitzhugh	1732	9757
6038630	Nicholas v. Burwell	1732	9757
6038681	Goddin v. Morris	1732	9757
6038693	Lightfoot v. Lightfoot	1732	9757
