case_id	case_name_abbreviation	decision_date	court_id
4397951	Morrison v. Shattuck	1780-12	8945
2473953	Doe ex dem. Chapin v. Scott	1789-12	8945
2474412	Morrison v. Shattuck	1789-12	8945
2474911	Oliver v. Chamberlin	1789-12	8945
2475151	Paine v. Ely	1789-12	8945
4397756	State v. Annice	1789-12	8945
4397798	Paine v. Ely	1789-12	8945
4397812	Havens v. Griffin	1789-12	8945
4397820	Chapin v. Scott	1789-12	8945
4397875	State v. Mather	1789-12	8945
4397886	Stedman ex dem. M’Kenzie v. Putney	1789-12	8945
4397899	State v. Marsh	1789-12	8945
4397937	Parker v. Parker	1789-12	8945
4398041	Oliver v. Chamberlain	1789-12	8945
2474292	Lyon v. Ide	1790-08	8945
2474521	Selectmen of Bennington v. McGennes	1790-08	8945
4397745	Lyon v. Ide	1790-08	8945
4397973	Selectmen of Bennington v. M’Gennes	1790-08	8945
4398023	Stoddard v. Allen	1790-08	8945
2472607	Ivers ex dem. Ivers v. Chandler	1790-09	8945
2473311	Morris ex dem. Ludlow v. Gill	1790-09	8945
2473367	Conant v. Bicknell	1790-09	8945
4397770	Ivers ex dem. Ivers v. Chandler	1790-09	8945
4397783	Wier v. Church	1790-09	8945
4397847	Morris ex dem. Ludlow v. Gill	1790-09	8945
4397861	Clark v. Campbell	1790-09	8945
4397912	Rich v. Wait	1790-09	8945
4397926	Bates ex dem. Shattuck v. Tucker	1790-09	8945
4397988	Conant v. Bicknell	1790-09	8945
4398056	Norton ex dem. Douglass v. Spooner	1790-12	8945
2473068	Pierson v. Hovey	1791-08	8945
2473408	Rhodes v. Risley	1791-08	8945
4397834	Pierson v. Hovey	1791-08	8945
4397963	Rhodes v. Risley	1791-08	8945
4398014	Underhill ex dem. Underhill v. Smith	1791-08	8945
2474707	Jacob ex dem. Paine v. Smead	1791-09	8945
4398002	Jacob ex dem. Paine v. Smead	1791-09	8945
2472662	Doe ex dem. Britton v. Lawrence	1797-01	8945
2473003	Doe ex dem. Pearsal v. Thorp	1797-01	8945
2473336	King v. Van Gilder	1797-01	8945
2473354	Doe ex dem. Broughton v. Blackman	1797-01	8945
2473454	Smith v. Joiner	1797-01	8945
2473975	Burroughs v. Booth	1797-01	8945
2474053	Hale v. Griswold	1797-01	8945
2474115	Everts v. Brown	1797-01	8945
2474201	Carpenter v. Coit	1797-01	8945
2474271	Wilcox v. Sherwin	1797-01	8945
2474460	Allen v. Mann	1797-01	8945
2474749	Campbell v. Hyde	1797-01	8945
2474789	Drury v. Shumway	1797-01	8945
2475188	Eastman v. Hodges	1797-01	8945
2475356	Carlis v. McLaughlin	1797	8945
2472564	Townsend v. Gray	1797-06	8945
2473127	Graham v. Gordon	1797-06	8945
2473262	Hastings v. Hodges	1797-06	8945
2473765	Richards v. Pearl	1797-06	8945
2474032	Everts v. Allen	1797-06	8945
2474433	State v. Johnson	1797-06	8945
2474533	State v. Bishop	1797-06	8945
2474363	Hiecock v. Hiecock	1797-07	8945
2475603	North v. Johnson	1797-07	8945
2475372	Badger v. Williams	1797-08	8945
4414693	Harmon ex dem. Fay v. Taft	1800-01	8945
4415068	Executors of Dimond v. Allen	1800-01	8945
4415672	Biddlecom ex dem. Biddlecom v. Farwell	1800-01	8945
4415836	Adams v. Davis	1800-01	8945
4415944	Pearl v. Allen	1800-01	8945
4415958	Young v. Sanders	1800-01	8945
4414724	Culver v. Pearl	1800-06	8945
4415122	Doe ex dem. Baldwin v. Foot	1800-06	8945
4415702	Hamilton v. Williams	1800-06	8945
4414709	Atkinson v. Minor	1801-01	8945
4414832	Mix v. Whitlock	1801-01	8945
4414970	Doe ex dem. Forbes v. Smith	1801-01	8945
4414985	Barns v. Webb	1801-01	8945
4415013	Porter v. Russell	1801-01	8945
